entidad_federativa,mes,accidentes,danios_materiales_millones,heridos,muertos
Colima,julio,18.0,1.617,15.0,6.0
Colima,agosto,20.0,2.5455,8.0,6.0
Colima,septiembre,10.0,0.383,6.0,1.0
Colima,octubre,4.0,0.855,2.0,2.0
Colima,noviembre,15.0,2.197,6.0,4.0
Colima,diciembre,15.0,1.378,19.0,2.0
Durango,enero,12.0,2.065,10.0,3.0
Durango,febrero,14.0,1.687,21.0,2.0
Durango,marzo,22.0,3.303,34.0,11.0
Durango,abril,20.0,2.644,35.0,9.0
Durango,mayo,15.0,2.24,16.0,4.0
Durango,junio,24.0,2.671,23.0,9.0
Durango,julio,26.0,3.03,49.0,10.0
Durango,agosto,21.0,1.7735,30.0,9.0
Durango,septiembre,14.0,0.813,20.0,5.0
Durango,octubre,19.0,2.6306,20.0,4.0
Durango,noviembre,23.0,1.7155,22.0,4.0
Durango,diciembre,15.0,1.365,14.0,6.0
Estado Mexico,enero,56.0,5.0115,63.0,13.0
Estado Mexico,febrero,47.0,2.89,51.0,19.0
Estado Mexico,marzo,59.0,4.224,45.0,19.0
Estado Mexico,abril,52.0,5.042,23.0,14.0
Estado Mexico,mayo,54.0,7.024,40.0,26.0
Estado Mexico,junio,56.0,5.678,33.0,7.0
Estado Mexico,julio,51.0,5.4995,28.0,10.0
Estado Mexico,agosto,49.0,5.964,48.0,23.0
Estado Mexico,septiembre,49.0,5.5035,58.0,17.0
Estado Mexico,octubre,37.0,4.4895,20.0,11.0
Estado Mexico,noviembre,47.0,12.108,50.0,22.0
Estado Mexico,diciembre,44.0,4.36,31.0,14.0
Guanajuato,enero,53.0,3.414,53.0,19.0
Guanajuato,febrero,39.0,3.0765,29.0,11.0
Guanajuato,marzo,43.0,4.013,36.0,21.0
Guanajuato,abril,49.0,5.58,66.0,18.0
Guanajuato,mayo,61.0,6.3221,75.0,18.0
Guanajuato,junio,67.0,5.1605,58.0,17.0
Guanajuato,julio,53.0,4.1635,62.0,10.0
Guanajuato,agosto,52.0,5.838,54.0,10.0
Guanajuato,septiembre,53.0,5.141,56.0,18.0
Guanajuato,octubre,55.0,5.1782,54.0,11.0
Guanajuato,noviembre,63.0,6.793,53.0,15.0
